#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="ucldStdevPrior.c:fixed-tree_alt" name="distribution">
#            <parameter id="ucldStdev.c:fixed-tree_alt" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="slocationtreeLikelihood.fixed-tree_alt" spec="sphericalGeo.ApproxMultivariateTraitLikelihood">
#            <data id="fixed-tree_alt" spec="sphericalGeo.AlignmentFromTraitMap">
#                <traitMap id="traitmap.s:fixed-tree_alt" initByMean="true" randomizelower="-90 -180" randomizeupper="90 180" spec="sphericalGeo.TreeTraitMap" traitName="location">
#                    <tree IsLabelledNewick="true" adjustTipHeights="false" estimate="false" id="Tree.t:fixed-tree_alt" newick="((Chalcura.nr.ramosa.D0646a:12228.617100000003,Austeucharis.implexa.D0164:45541.898):9492.5,((Ancylotropus.carniscutis.D0407:54325.41219999999,Schizaspidia.aenea.D0168:31160.194900000002):11191.0,(Colocharis.sp.D3843:6298.619999999995,(Galearia.sp.D3922:21622.636599999998,(Kapala.sp.D3920:14521.345000000001,(Kapala.ivorensis.D2746:15087.709799999997,(Lasiokapala.sp.D3598:19005.459000000003,Neolirata.alta.D3601:8152.275300000001):10289.0):1374.0):3642.0):2205.0):14363.0):9492.5):0.0" spec="beast.util.TreeParser">
#                        <taxonset id="TaxonSet.0" spec="beast.evolution.alignment.TaxonSet">
#                            <taxon id="Ancylotropus.carniscutis.D0407" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Austeucharis.implexa.D0164" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Chalcura.nr.ramosa.D0646a" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Colocharis.sp.D3843" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Galearia.sp.D3922" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Kapala.ivorensis.D2746" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Kapala.sp.D3920" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Lasiokapala.sp.D3598" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Neolirata.alta.D3601" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="Schizaspidia.aenea.D0168" spec="beast.evolution.alignment.Taxon"/>
#                        </taxonset>
#                    </tree>
#                    <parameter dimension="38" id="location.s:fixed-tree_alt" minordimension="2" spec="sphericalGeo.LocationParameter">0.0 0.0</parameter>
#                        Ancylotropus.carniscutis.D0407=63.3233807 97.09799740000001,
#Austeucharis.implexa.D0164=63.3233807 97.09799740000001,
#Chalcura.nr.ramosa.D0646a=58.31950685 104.71922099999999,
#Colocharis.sp.D3843=63.3233807 97.09799740000001,
#Galearia.sp.D3922=58.31950685 104.71922099999999,
#Kapala.ivorensis.D2746=63.3233807 97.09799740000001,
#Kapala.sp.D3920=58.31950685 104.71922099999999,
#Lasiokapala.sp.D3598=58.31950685 104.71922099999999,
#Neolirata.alta.D3601=63.3233807 97.09799740000001,
#Schizaspidia.aenea.D0168=58.31950685 104.71922099999999                                    </traitMap>
#                <userDataType id="LocationDataType.0" spec="sphericalGeo.LocationDataType"/>
#            </data>
#            <tree idref="Tree.t:fixed-tree_alt"/>
#            <siteModel id="geoContSiteModel.s:fixed-tree_alt" spec="beast.evolution.sitemodel.SiteModel">
#                <substModel fast="true" id="sdiffusionModel.s:fixed-tree_alt" spec="sphericalGeo.SphericalDiffusionModel">
#                    <parameter id="sprecision.s:fixed-tree_alt" lower="0.0" name="precision" spec="beast.core.parameter.RealParameter">100.0</parameter>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:fixed-tree_alt" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:fixed-tree_alt">
#                <LogNormal S="@ucldStdev.c:fixed-tree_alt" id="LogNormalDistributionModel.c:fixed-tree_alt" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.0" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="18" id="rateCategories.c:fixed-tree_alt" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:fixed-tree_alt" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	slocationtreeLikelihood	sprecision	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
0	-85.71470115419247	-86.53406529931327	0.819364145120802	-86.53406529931327	100.0	0.1	1.0386292860274629	0.009464759765529651	0.09811227249405426
1000	-11.523996924264122	-0.2659665642932093	-11.258030359970912	-0.2659665642932093	100.0	4.061088297860538	0.06269673396247068	0.04065673766751991	2.880003489295299
2000	62.42567681692547	75.1702378038885	-12.744560986963032	75.1702378038885	100.0	4.606632079215032	1.4122224000137584E-5	4.822469650579416E-10	1.7063114868159979
3000	65.8702859064937	78.88140398282691	-13.011118076333211	78.88140398282691	100.0	4.704725490494771	2.1383539368169963E-4	5.4013480980404223E-8	2.3331137477023436
4000	81.40206450020969	95.06841137275609	-13.666346872546397	95.06841137275609	100.0	4.946158336554366	1.798919721619508E-5	1.1822384469704756E-9	2.091487898980565
5000	107.93301458163481	123.32669782352664	-15.393683241891841	123.32669782352664	100.0	5.5844860294249505	1.3405063944547392E-5	5.468115730306664E-10	1.961335943639844
6000	101.50458268188612	117.02747099639924	-15.522888314513118	117.02747099639924	100.0	5.632329517127344	3.1742567160214174E-5	1.0002326979571975E-8	2.648482114004352
7000	109.84783749882106	125.33459148587289	-15.486753987051827	125.33459148587289	100.0	5.618948049306475	2.1747189345677758E-5	6.019107146061643E-9	3.0162350084353697
8000	114.01072748782	129.8558820731235	-15.845154585303492	129.8558820731235	100.0	5.751715047679332	1.4973577939090554E-5	1.9521403878125313E-9	2.596914179175867
9000	117.76843012205273	134.18728526478506	-16.41885514273233	134.18728526478506	100.0	5.9644261815332005	7.906048471297466E-6	2.9114833752614223E-10	2.308515234561974
10000	136.5887221805346	153.40475482503695	-16.816032644502336	153.40475482503695	100.0	6.111816141926155	1.29054090127042E-5	2.7437732463227475E-10	1.5924993013122672
11000	134.72368861355432	151.8813394536201	-17.157650840065777	151.8813394536201	100.0	6.2386681648364535	9.62536020276925E-6	9.176256914107889E-11	1.4552136259495794
12000	137.02080133135988	154.299116535443	-17.27831520408314	154.299116535443	100.0	6.28349113897419	2.1870839975689463E-5	1.095742412606828E-8	3.574888179802015
13000	134.83047656604745	152.27412682540287	-17.44365025935542	152.27412682540287	100.0	6.344921966979404	3.303694394549822E-5	1.2024581639742815E-8	2.702919661199818
14000	145.82508811572995	164.22684546045244	-18.40175734472248	164.22684546045244	100.0	6.701216885329101	2.7448170156949663E-5	9.255496052299774E-10	1.6463992657375603
15000	154.18242266525192	173.15144941906635	-18.96902675381444	173.15144941906635	100.0	6.912401522437554	1.1473449696412722E-5	1.3038261008938763E-10	1.4552137444336162
16000	164.8586073350223	183.89002357590124	-19.03141624087894	183.89002357590124	100.0	6.935638005769551	1.0212703592896916E-5	1.0330294121779656E-10	1.4552127406393272
17000	165.9321759434976	185.1482685887157	-19.216092645218094	185.1482685887157	100.0	7.00443054328209	7.212744486151467E-6	5.1526747549677115E-11	1.4552137345830793
18000	164.84914300839313	183.96047817668554	-19.11133516829241	183.96047817668554	100.0	6.965406004483219	8.790925921788283E-6	7.654218614281973E-11	1.4552137003533765
19000	162.44646385752583	181.4532898004076	-19.006825942881772	181.4532898004076	100.0	6.926479308389372	1.0692870880660999E-5	1.1324532530020484E-10	1.4552137424879221
20000	156.59441064224043	175.62433444897593	-19.029923806735503	175.62433444897593	100.0	6.935082137659646	1.0241243945383498E-5	1.0388122404110515E-10	1.455213736280614
21000	160.37766718088926	179.5707350471319	-19.19306786624265	179.5707350471319	100.0	6.995852831746989	7.534350673193715E-6	5.622419966411544E-11	1.455213703346421
22000	167.41575537251114	186.39783122133062	-18.982075848819473	186.39783122133062	100.0	6.917261397425819	1.1197994353424344E-5	1.2419729218586447E-10	1.4552137439593176
23000	162.10097975801716	181.23055863559176	-19.129578877574605	181.23055863559176	100.0	6.972201815002989	8.494101499908908E-6	7.146057877372907E-11	1.4552137316190794
24000	167.6766916217785	186.8062704993531	-19.129578877574605	186.8062704993531	100.0	6.972201815002989	8.494101493815475E-6	7.146057932951475E-11	1.4552137485959984
25000	168.0517729525867	187.1813518301613	-19.129578877574605	187.1813518301613	100.0	6.972201815002989	8.494101493802088E-6	7.146057933071787E-11	1.4552137486327492
26000	166.19372231746138	185.32330119503598	-19.129578877574605	185.32330119503598	100.0	6.972201815002989	8.494101501490695E-6	7.146057920630083E-11	1.4552137448323306
27000	168.0517729525867	187.1813518301613	-19.129578877574605	187.1813518301613	100.0	6.972201815002989	8.494101493802088E-6	7.146057933071787E-11	1.4552137486327492
28000	168.4507670199701	187.55517326192364	-19.10440624195354	187.55517326192364	100.0	6.962825011236186	8.906247896581437E-6	7.85635680085699E-11	1.4552137483202106
29000	165.43288043752958	184.47394526741687	-19.0410648298873	184.47394526741687	100.0	6.939231720518326	1.0030005825958026E-5	9.964006668459631E-11	1.455213744018815
30000	166.36531777057772	185.406382600465	-19.0410648298873	185.406382600465	100.0	6.939231720518326	1.003000581607737E-5	9.964006687492164E-11	1.455213748188283
31000	164.95509412308925	183.9743702807564	-19.01927615766714	183.9743702807564	100.0	6.931116374168882	1.0447112708626595E-5	1.0809962791851543E-10	1.45521374388524
