language	latitude	longitude
Hittite	37.7874752477676	33.4357812970257
Luvian	38.5	35.4
Lycian	36.5625517018681	29.8445306993837
Tocharian_A	42.9264431934901	89.3577819848532
Tocharian_B	42.2295853119231	85.639904267671
Albanian_Sicily	38.0018116756757	13.6335986216216
Albanian_Corinth	37.9683334850582	23.5258329215863
Albanian_Gheg	42.2265854672629	20.8761781434291
Albanian_Tosk	40.2555909357993	20.4078893269557
Greek	39.6965740080697	22.4244833145042
Greek_Lesbos	39.25	26.25
Classical_Armenian	40.14457720932	45.0845970375941
Armenian	40.0723733405928	45.305168062311
Avestan	34.3395388882309	56.5832053759183
Old_Persian	31.4735553369275	49.7135856082214
Wakhi	37.0896278316136	73.2784554214728
Baluchi	26.587957378949	62.5580635441686
Kurdish	37.5676567980605	44.6699618824466
Tajik	38.7838124193206	69.7926755573248
Persian	32.5892853680905	56.497464338956
Waziri	32.0	69.5
Pashto	32.4642422895257	68.3275074219367
Ossetic_Iron	43.034486	44.520986
Ossetic_Digor	43.052279132357	43.8201799375788
Vedic_Sanskrit	30.4044570967343	75.2925736923182
Nepali	28.9661199765101	81.7191401912752
Assamese	26.5425291713748	92.5875510677967
Oriya	21.1044867495426	84.4083078544998
Bengali	23.4537729409676	89.9336333317797
Bihari	26.6473101417446	86.2514416915889
Hindi	25.9196611535088	79.5549765906433
Urdu	29.1633352808989	78.5478286853933
Sindhi	24.0147216043201	68.5026427741777
Lahnda	31.5439738685377	74.4524172200886
Gujarati	21.6757849717439	71.837266176159
Marathi	19.0076071776128	75.4682634517418
Kashmiri	34.1156788411215	74.8373988785047
Sinhalese	7.41611554337899	80.7595922694064
Old_Church_Slavonic	41.0483881792338	23.5698633759189
Serbo-Croatian	43.6695141808383	20.6942472711936
Bulgarian	42.9902253468905	23.2769954250417
Macedonian	41.8685345277435	21.7308628277435
Russian	56.0	38.0
Polish	51.5090908904423	19.2212679089872
Belarusian	53.3986072792712	28.4809632063919
Ukrainian	48.0557674197214	31.3759894414153
Slovak	48.9377120833334	19.8098520947368
Czech	49.7852348957672	15.4915899544974
Sorbian_Upper	51.4629079970864	14.395760374776
Sorbian_Lower	51.6695048	13.9499768666667
Slovenian	46.0272344938271	14.9180192204586
Old_Prussian	54.0876293990659	19.8936967892766
Latvian	56.8718099744214	25.0341541608855
Lithuanian	55.2173662032521	23.8645842057536
Old_Norse	65.3318294673867	-19.5330516027461
Icelandic	65.1921619246137	-19.8554940975495
Faroese	62.0426917877632	-6.83240407959032
Norwegian_Riksmal	63.5093535944724	11.0867957740995
Swedish	60.0	15.0
Danish	55.8494836237628	9.8066851638111
Old_English	51.071658942709	-1.78055413744826
English	54.4879166094099	-3.5209377168078
Frisian	53.1023277955801	5.71783664640884
Dutch	51.7629408602076	5.23107930242214
Flemish	51.0059158860294	2.9809946875
Old_High_German	48.8451711709015	11.6826782642743
German	50.2613386999753	11.1383979707624
Luxembourgish	49.710969183187	6.08277790087829
Gothic	53.9886795942125	16.5001262863809
Oscan	40.8585186099626	15.6505861410831
Umbrian	42.6101677513016	12.8381987416551
Latin	42.0664213170021	12.3966635937599
Catalan	41.75	2.0
Portuguese	39.5937373891324	-8.06735775679228
Spanish	41.1694070669931	-4.44456782718208
Sardinian_Cagliari	39.3850265162393	8.83315765128205
Sardinian_Logudoro	40.483316	8.56566455555556
Sardinian_Nuoro	40.5621072037037	9.65639736419753
Walloon	50.1993967535211	5.05004061971831
French	47.1074154598239	1.11449788231361
Provencal	43.7826152546075	6.12639570307167
Ladin	46.6082063793103	11.8927536896552
Romansh	46.57	9.80
Friulian	45.8725428995984	13.2862703614458
Italian	41.9972471395463	14.0357282757183
Romanian	46.2282614049859	25.556100646872
Vlach	40.586	21.395
Old_Irish	53.363002759729	-8.37437151730888
Cornish	50.3557791496575	-4.89972956692107
Breton	48.3080773846578	-4.03400156622516
Welsh	51.75	-4.25
Irish	53.4532551964426	-8.19735624567699
Scottish_Gaelic	57.1495963989066	-5.77410260889693
Ancient_Greek	37.9724605624413	23.7495907945741
Sogdian	40.4	69.4
Shughni	37.50	71.79
Sarikoli	37.91	75.14
Pali	24.53	82.25
